"","sample","Sdiv_ptg000009l_0614-R","Sdiv_ptg000010l_2315-R","Pop","Vern","group"
"101","lv3.23_v2",1.58352940903907,2.54952174531232,"lv3","v2","v2_lv3"
"102","sq3.06_i0",5.40998686258429,4.83481313827631,"sq3","i0","i0_sq3"
"103","sq3.06_i1",2.06744067748704,4.35902057207575,"sq3","i1","i1_sq3"
"104","sq3.06_i2",1.16812112115494,3.27206446403139,"sq3","i2","i2_sq3"
"105","sq3.06_v0",3.95630608964576,3.99793609983188,"sq3","v0","v0_sq3"
"106","sq3.06_v1",4.55141366876943,4.87396652802461,"sq3","v1","v1_sq3"
"107","sq3.06_v2",1.8243823016298,4.79862960966751,"sq3","v2","v2_sq3"
"108","sq3.08_i0",4.34996687446456,4.88660280756285,"sq3","i0","i0_sq3"
"109","sq3.08_i1",4.20348153475506,5.75592500240987,"sq3","i1","i1_sq3"
"110","sq3.08_i2",-1.21867592167318,1.36630169613072,"sq3","i2","i2_sq3"
"111","sq3.08_v0",4.6560475378157,3.52839522462184,"sq3","v0","v0_sq3"
"112","sq3.08_v1",4.32396029697618,5.93786308547803,"sq3","v1","v1_sq3"
"113","sq3.08_v2",1.00746637096369,8.20973127761236,"sq3","v2","v2_sq3"
"114","sq3.11_i0",5.0603601065857,5.43192305238539,"sq3","i0","i0_sq3"
"115","sq3.11_i1",4.58285510397724,0.115538351387036,"sq3","i1","i1_sq3"
"116","sq3.11_i2",4.24914901639041,4.24358904099588,"sq3","i2","i2_sq3"
"117","sq3.11_v0",10.1534035883386,1.51858272432035,"sq3","v0","v0_sq3"
"118","sq3.11_v1",4.46024186788916,5.0797816390747,"sq3","v1","v1_sq3"
"119","sq3.11_v2",2.74801217254679,3.77407008507101,"sq3","v2","v2_sq3"
"120","sq3.14_i0",4.72576501792998,4.75310698130951,"sq3","i0","i0_sq3"
"121","sq3.14_i1",3.97510880309052,5.01055231547587,"sq3","i1","i1_sq3"
"122","sq3.14_i2",0.268569312991292,-0.379241414483428,"sq3","i2","i2_sq3"
"123","sq3.14_v1",1.0916147082515,-0.2448102453604,"sq3","v1","v1_sq3"
